user_id,age,gender,location
329,57,Female,Germany
330,41,Male,USA
331,49,Male,Germany
332,39,Male,India
333,40,Female,USA
334,19,Female,UK
335,44,Female,India
336,59,Female,USA
337,19,Female,UK
338,43,Female,India
339,34,Female,India
340,57,Female,USA
341,50,Female,Canada
342,26,Male,India
343,56,Male,India
344,46,Male,UK
345,59,Male,Germany
346,43,Female,USA
347,52,Female,USA
348,42,Male,Canada
349,41,Female,Canada
350,30,Male,USA
351,24,Female,Canada
352,53,Male,UK
353,37,Female,USA
354,18,Female,Canada
355,25,Male,USA
356,33,Female,Germany
357,31,Male,India
358,29,Male,USA
359,40,Male,India
360,32,Male,Canada
361,45,Female,India
362,51,Female,USA
363,19,Female,Germany
364,49,Male,Canada
365,40,Female,USA
366,39,Male,Canada
367,42,Female,UK
368,39,Female,India
369,39,Female,UK
370,59,Male,USA
371,23,Female,Germany
372,32,Female,Canada
373,54,Male,India
374,50,Female,Canada
375,25,Male,USA
376,22,Female,Canada
377,56,Male,India
378,21,Male,USA
379,23,Female,Canada
380,49,Male,Germany
381,47,Male,USA
382,52,Male,USA
383,57,Male,Germany
384,33,Male,UK
385,30,Male,India
386,59,Female,UK
387,47,Male,Canada
388,36,Male,Germany
389,34,Female,UK
390,36,Female,USA
391,45,Female,Canada
392,43,Female,Canada
393,54,Female,UK
394,43,Female,UK
395,40,Female,Germany
396,26,Male,India
397,29,Male,UK
398,18,Female,UK
399,18,Male,USA
400,51,Male,Canada
401,49,Male,India
402,42,Female,USA
403,57,Female,Germany
404,18,Male,Germany
405,33,Female,UK
406,56,Male,UK
407,22,Male,Germany
408,39,Male,UK
409,46,Male,India
410,20,Female,UK
411,29,Female,Canada
412,43,Female,UK
413,33,Male,USA
414,54,Female,India
415,39,Male,USA
416,46,Female,USA
417,31,Male,Canada
418,45,Male,India
419,22,Male,India
420,47,Female,India
421,22,Female,India
422,29,Female,India
423,33,Female,Canada
424,43,Male,UK
425,43,Female,USA
426,38,Female,India
427,56,Male,UK
428,53,Male,UK
429,50,Male,USA
430,47,Female,Canada
431,54,Male,Germany
432,40,Male,Germany
433,27,Male,UK
434,22,Female,USA
435,53,Male,Germany
436,51,Female,UK
437,48,Female,Canada
438,27,Male,Germany
439,36,Male,UK
440,49,Female,UK
441,18,Male,India
442,22,Male,Canada
443,21,Female,India
444,33,Female,USA
445,41,Male,India
446,33,Female,India
447,19,Male,Germany
448,45,Male,UK
449,49,Male,Canada
450,44,Female,India
451,37,Male,Canada
452,41,Male,India
453,29,Male,USA
454,52,Female,India
455,50,Female,Germany
456,50,Female,UK
457,54,Female,USA
458,29,Female,India
459,20,Male,Canada
460,18,Female,USA
461,50,Female,USA
462,57,Female,India
463,27,Male,USA
464,46,Female,Canada
465,30,Female,USA
466,29,Male,Canada
467,48,Female,India
468,19,Male,UK
469,52,Male,USA
470,40,Male,UK
471,34,Male,Canada
472,43,Male,USA
473,25,Female,Germany
474,46,Male,UK
475,43,Male,USA
476,27,Female,UK
477,43,Male,USA
478,51,Female,India
479,58,Female,UK
480,24,Female,Germany
481,21,Male,Germany
482,28,Male,Canada
483,46,Male,USA
484,53,Female,UK
485,42,Male,Canada
486,38,Male,UK
487,53,Male,USA
488,27,Female,Germany
489,54,Female,India
490,26,Male,Germany
491,41,Male,Canada
492,52,Male,India
493,52,Male,Canada
494,53,Female,USA
495,35,Female,India
496,56,Female,Canada
497,49,Female,USA
498,41,Male,Germany
499,40,Male,USA
500,49,Male,UK
